Veículo,Coef de desgaste DD,Coef de desgaste DE,Coef de desgaste TD,Coef de desgaste TE
1,"0,002196","0,002196","0,01293","0,005"
2,"0,001765","0,001222","0,006108","0,005022"
3,"0,002709","0,001419","0,008256","0,006708"
4,"0,002355","0,000785","0,003271","0,00157"
5,"0,002866","0,002548","0,006794","0,006263"
6,"0,001595","0,001914","0,00622","0,0126"
7,"0,001318","0,001846","0,006","0,006591"
8,"0,001369","0,002054","0,004107","0,006845"
9,"0,003298","0,00123","0,004248","0,002906"
11,"0,001244","0,000995","0,003484","0,003608"
13,"0,000712","0,003205","0,003027","0,007122"
14,"0,008119","0,01387","0,022327","0,030447"
15,"0,000948","0,001138","0,002276","0,003794"
16,"0,001954","0,001476","0,008337","0,001563"
19,"0,003111","0,002393","0,010529","0,0067"
20,"0,002114","0,001409","0,00502","0,003171"
21,"0,003989","0,002","0,00464","0,002198"
22,"0,002112","0,000818","0,003747","0,000886"
23,"0,001084","0,00129","0,004696","0,000826"
