DATA;HORA;TURNO;VEÍCULO;MODELO;LINHA;ORIGEM;DEFEITO;GRUPO;PERDAS;O.S;STATUS O.S;RESPONSÁVEL;REINC;Data Reincidência;Difenreça dos dias;;;;;;
02/08/2024;05:06:03;Manhã;2804;MBB - OF 1721 E5;2467;1;POTENCIA;ELÉTRICA;0;573457;FECHADA;;Não;Nenhuma;0;;Soma de PERDAS;Rótulos de Coluna;;;
02/08/2024;05:12:36;Manhã;2446;K-310;2480;1;ARTICULAÇÃO;MECÂNICA;0;573459;FECHADA;;Não;Nenhuma;0;;Rótulos de Linha;Manhã;Noite;Tarde;Total Geral
02/08/2024;05:34:56;Manhã;2019;MBB - OF 1721 E5;2504;2;SUSPENSÃO;MECÂNICA;0;573460;FECHADA;;Não;Nenhuma;0;;02/08/2024;3;1;8;12
02/08/2024;05:54:56;Manhã;2422;K-310;2450;1;ARTICULAÇÃO;MECÂNICA;0;573462;FECHADA;;Não;Nenhuma;0;;K-310;1;0;7;8
02/08/2024;05:58:22;Manhã;2938;MBB - OF 1721 L E5;2930;2;AVARIA;LANTERNAGEM;0;573463;FECHADA;;Não;Nenhuma;0;;MBB - OF 1519;0;;;0
02/08/2024;06:08:13;Manhã;2010;MBB - OF 1721 E5;2492;5;PORTA;LANTERNAGEM;0;573464;FECHADA;;Não;Nenhuma;0;;MBB - OF 1721 E5;1;0;1;2
02/08/2024;06:23:25;Manhã;2306;O500R/1830;2437;5;AR CONDICIONADO;AR CONDICIONADO;1;573466;FECHADA;;Não;Nenhuma;0;;MBB - OF 1721 L E5;0;1;0;1
02/08/2024;06:27:38;Manhã;2038;MBB - OF 1721 E5;2463;2;SUSPENSÃO;MECÂNICA;0;573467;FECHADA;;Não;Nenhuma;0;;MBB - OF 1724 E5;;;0;0
02/08/2024;06:38:34;Manhã;2428;K-310;2450;1;ARTICULAÇÃO;MECÂNICA;0;573476;FECHADA;;Não;Nenhuma;0;;O500M/1928 E6;0;0;;0
02/08/2024;07:33:08;Manhã;2481;K-310;2450;1;PORTA;LANTERNAGEM;0;573480;FECHADA;;Não;Nenhuma;0;;O500R/1830;1;0;0;1
02/08/2024;07:44:02;Manhã;2941;MBB - OF 1721 L E5;2402;2;SUSPENSÃO;MECÂNICA;0;573483;FECHADA;;Não;Nenhuma;0;;#N/D;;;0;0
02/08/2024;07:49:46;Manhã;2933;MBB - OF 1721 L E5;2402;2;SUSPENSÃO;MECÂNICA;0;573485;FECHADA;;Não;Nenhuma;0;;05/08/2024;19;6;5;30
02/08/2024;08:03:32;Manhã;2456;K-310;2450;5;ARTICULAÇÃO;MECÂNICA;0;573486;FECHADA;;Não;Nenhuma;0;;K-310;7;4;3;14
02/08/2024;08:17:04;Manhã;2403;K-310;2480;1;ARTICULAÇÃO;MECÂNICA;0;573482;FECHADA;;Não;Nenhuma;0;;MBB - OF 1519;;;0;0
02/08/2024;08:37:56;Manhã;2028;MBB - OF 1519;2477;2;AVARIA;LANTERNAGEM;0;573487;FECHADA;;Não;Nenhuma;0;;MBB - OF 1721 E5;11;2;2;15
02/08/2024;08:39:20;Manhã;2911;MBB - OF 1721 E5;2423;5;TEMPERATURA;MOTOR;0;573488;FECHADA;;Não;Nenhuma;0;;MBB - OF 1721 L E5;1;;0;1
02/08/2024;08:48:19;Manhã;2301;O500R/1830;2437;1;AR CONDICIONADO;AR CONDICIONADO;0;573490;FECHADA;;Não;Nenhuma;0;;MBB - OF 1724 E5;0;;0;0
02/08/2024;09:02:06;Manhã;2805;MBB - OF 1721 E5;2463;2;BORRACHARIA;MECÂNICA;0;573492;FECHADA;;Não;Nenhuma;0;;MBB - OF 1726 L E6;0;;;0
