Veículo,% DD,%DE,%TD,%TE, km
2332,0,0,0,0,0
2332,0,0,1,0,  110 
2332,0,0,4,0,  316 
2332,1,1,7,0,  523 
2332,1,2,10,0,  731 
2332,2,2,14,0,  1.165 
2332,4,3,18,0,  1.579 
2332,4,4,20,0,  1.787 
2332,6,6,32,0,  1.987 
2333,0,0,0,0,0
2333,0,0,1,1,  208 
2333,1,0,3,2,  419 
2333,1,1,4,3,  628 
2333,1,1,5,4,  835 
2333,3,2,9,7,  1.485 
2333,3,2,10,9,  1.689 
2333,4,3,13,11,  2.103 
2334,0,0,0,0,0
2334,1,0,2,1,  207 
2334,2,1,5,4,  615 
2334,2,1,8,6,  999 
2334,3,1,10,8,  1.209 
2334,3,2,12,10,  1.416 
2334,4,2,13,11,  1.553 
2334,6,4,,,  1.753 
2335,0,0,0,0,0
2335,0,0,0,0,  213 
2335,1,0,1,0,  362 
2335,1,0,1,0,  570 
2335,2,0,2,1,  776 
2335,3,1,4,2,  1.161 
2335,3,1,5,2,  1.348 
2335,4,2,5,3,  1.497 
2335,4,2,7,4,  1.716 
2336,0,0,0,0,0
2336,1,1,1,1,  208 
2336,2,1,2,2,  415 
2336,2,2,4,4,  829 
2336,4,4,10,10,  1.634 
2336,5,4,11,10,  1.843 
2336,5,5,13,12,  2.050 
2336,8,7,23,20,  2.441 
2337,0,0,0,0,0
2337,0,0,0,3,  277 
2337,0,1,0,4,  424 
2337,2,3,4,11,  1.171 
2337,2,2,5,13,  1.300 
2337,2,2,6,15,  1.447 
2337,4,4,24,33,  1.651 
2338,0,0,0,0,0
2338,0,0,0,0,  207 
2338,0,1,0,2,  344 
2338,0,1,0,2,  494 
2338,2,2,0,9,  1.175 
2338,3,3,0,12,  1.573 
2339,0,0,0,0,0
2339,3,3,7,12,  1.751 
2339,3,4,8,14,  1.951 
2339,3,5,8,15,  2.150 
2339,3,5,9,16,  2.220 
2339,3,5,10,17,  2.478 
2339,4,7,13,21,  3.096 
2339,5,7,15,24,  3.618 
2339,5,7,16,25,  3.720 
2339,5,8,16,26,  3.850 
2340,0,0,0,0,0
2340,6,2,8,4,  1.603 
2340,6,2,8,7,  1.712 
2340,7,3,9,5,  1.931 
2340,7,2,9,6,  2.039 
2340,8,3,10,7,  2.455 
2340,8,3,6,7,  2.563 
2340,8,3,12,7,  2.713 
2340,9,4,14,9,  2.875 
2342,0,0,0,0,0
2342,0,0,0,1,  148 
2342,0,0,1,1,  311 
2342,0,0,1,2,  419 
2342,1,1,3,3,  735 
2342,1,1,3,3,  905 
2342,1,1,4,3,  1.042 
2342,2,1,4,4,  1.208 
2342,2,2,5,5,  1.544 
2342,3,2,7,7,  1.725 
2344,0,0,0,0,0
2344,0,5,1,9,  1.179 
2344,0,5,3,10,  1.387 
2344,0,6,3,11,  1.593 
2344,1,6,4,12,  1.780 
2344,1,6,5,14,  1.987 
2344,2,7,7,17,  2.528 
2344,3,8,11,21,  3.132 
2344,5,11,17,26,  3.263 
2345,0,0,0,0,0
2345,0,0,0,0,  -   
2345,6,10,16,22,  306 
2345,6,10,16,22,  494 
2345,6,11,17,23,  990 
2345,6,10,17,23,  1.166 
2346,0,0,0,0,0
2346,0,0,1,1,  127 
2346,0,0,1,1,  228 
2346,1,0,1,2,  424 
2346,1,1,2,4,  847 
2346,1,2,3,5,  1.758 
2346,2,3,4,7,  1.888 
2347,0,0,0,0,0
2347,3,2,14,0,  1.244 
2347,3,2,15,0,  1.392 
2347,3,2,15,0,  1.600 
2347,4,2,16,1,  1.749 
2347,4,3,18,3,  2.278 
2347,5,4,20,4,  2.467 
2347,5,4,21,5,  2.675 
2347,5,4,22,6,  2.843 
2347,6,5,25,8,  3.348 
2347,7,6,26,9,  3.434 
2350,0,0,0,0,0
2350,1,1,1,1,  209 
2350,2,1,5,3,  624 
2350,2,2,8,5,  951 
2350,3,2,10,6,  1.160 
2350,5,4,20,13,  1.235 
2351,0,0,0,0,0
2351,1,0,1,0,  196 
2351,1,0,1,1,  286 
2351,1,1,4,3,  902 
2351,2,1,5,3,  1.078 
2351,3,2,6,3,  1.225 
2351,3,-8,7,4,  1.431 
2351,4,3,10,7,  1.974 
2351,4,3,11,7,  2.071 
2351,5,3,12,8,  2.191 
2352,0,0,0,0,0
2352,4,0,6,2,  1.123 
2352,5,0,6,2,  1.270 
2352,6,0,7,3,  1.506 
2352,9,0,10,5,  2.227 
2352,11,0,12,6,  2.641 
2352,14,0,16,9,  3.517 
2353,0,0,0,0,0
2353,2,1,5,0,  1.147 
2353,3,1,6,1,  1.333 
2353,3,1,6,1,  1.519 
2353,3,1,6,1,  1.833 
2353,4,2,7,2,  1.980 
2353,4,2,7,2,  1.980 
2353,5,2,8,2,  2.355 
2353,7,2,10,4,  2.531 
2354,0,0,0,0,0
2354,1,2,6,0,  978 
2354,1,2,7,0,  1.166 
2354,2,2,8,0,  1.442 
2354,2,2,9,1,  1.698 
2354,2,3,9,1,  1.828 
2354,2,2,9,2,  1.828 
2354,2,3,9,2,  2.124 
2354,3,3,11,3,  2.636 
2354,3,3,11,3,  2.784 
2354,3,3,12,4,  2.895 
