Veículo,% DD,%DE,%TD,%TE,km
1,0,0,0,0,0
1,0,0,1,0,110
1,0,0,4,0,316
1,1,1,7,0,523
1,1,2,10,0,731
1,2,2,14,0,1.165
1,4,3,18,0,1.579
1,4,4,20,0,1.787
1,6,6,32,0,1.987
2,0,0,0,0,0
2,0,0,1,1,208
2,1,0,3,2,419
2,1,1,4,3,628
2,1,1,5,4,835
2,3,2,9,7,1.485
2,3,2,10,9,1.689
2,4,3,13,11,2.103
3,0,0,0,0,0
3,1,0,2,1,207
3,2,1,5,4,615
3,2,1,8,6,999
3,3,1,10,8,1.209
3,3,2,12,10,1.416
3,4,2,13,11,1.553
3,6,4,,,1.753
4,0,0,0,0,0
4,0,0,0,0,213
4,1,0,1,0,362
4,1,0,1,0,570
4,2,0,2,1,776
4,3,1,4,2,1.161
4,3,1,5,2,1.348
4,4,2,5,3,1.497
4,4,2,7,4,1.716
5,0,0,0,0,0
5,1,1,1,1,208
5,2,1,2,2,415
5,2,2,4,4,829
5,4,4,10,10,1.634
5,5,4,11,10,1.843
5,5,5,13,12,2.050
5,8,7,23,20,2.441
6,0,0,0,0,0
6,0,0,0,3,277
6,0,1,0,4,424
6,2,3,4,11,1.171
6,2,2,5,13,1.300
6,2,2,6,15,1.447
6,4,4,24,33,1.651
7,0,0,0,0,0
7,0,0,0,0,207
7,0,1,0,2,344
7,0,1,0,2,494
7,2,2,0,9,1.175
7,3,3,0,12,1.573
8,0,0,0,0,0
8,3,3,7,12,1.751
8,3,4,8,14,1.951
8,3,5,8,15,2.150
8,3,5,9,16,2.220
8,3,5,10,17,2.478
8,4,7,13,21,3.096
8,5,7,15,24,3.618
8,5,7,16,25,3.720
8,5,8,16,26,3.850
9,0,0,0,0,0
9,6,2,8,4,1.603
9,6,2,8,7,1.712
9,7,3,9,5,1.931
9,7,2,9,6,2.039
9,8,3,10,7,2.455
9,8,3,6,7,2.563
9,8,3,12,7,2.713
9,9,4,14,9,2.875
11,0,0,0,0,0
11,0,0,0,1,148
11,0,0,1,1,311
11,0,0,1,2,419
11,1,1,3,3,735
11,1,1,3,3,905
11,1,1,4,3,1.042
11,2,1,4,4,1.208
11,2,2,5,5,1.544
11,3,2,7,7,1.725
13,0,0,0,0,0
13,0,5,1,9,1.179
13,0,5,3,10,1.387
13,0,6,3,11,1.593
13,1,6,4,12,1.780
13,1,6,5,14,1.987
13,2,7,7,17,2.528
13,3,8,11,21,3.132
13,5,11,17,26,3.263
14,0,0,0,0,0
14,0,0,0,0,-
14,6,10,16,22,306
14,6,10,16,22,494
14,6,11,17,23,990
14,6,10,17,23,1.166
15,0,0,0,0,0
15,0,0,1,1,127
15,0,0,1,1,228
15,1,0,1,2,424
15,1,1,2,4,847
15,1,2,3,5,1.758
15,2,3,4,7,1.888
16,0,0,0,0,0
16,3,2,14,0,1.244
16,3,2,15,0,1.392
16,3,2,15,0,1.600
16,4,2,16,1,1.749
16,4,3,18,3,2.278
16,5,4,20,4,2.467
16,5,4,21,5,2.675
16,5,4,22,6,2.843
16,6,5,25,8,3.348
16,7,6,26,9,3.434
19,0,0,0,0,0
19,1,1,1,1,209
19,2,1,5,3,624
19,2,2,8,5,951
19,3,2,10,6,1.160
19,5,4,20,13,1.235
20,0,0,0,0,0
20,1,0,1,0,196
20,1,0,1,1,286
20,1,1,4,3,902
20,2,1,5,3,1.078
20,3,2,6,3,1.225
20,3,-8,7,4,1.431
20,4,3,10,7,1.974
20,4,3,11,7,2.071
20,5,3,12,8,2.191
21,0,0,0,0,0
21,4,0,6,2,1.123
21,5,0,6,2,1.270
21,6,0,7,3,1.506
21,9,0,10,5,2.227
21,11,0,12,6,2.641
21,14,0,16,9,3.517
22,0,0,0,0,0
22,2,1,5,0,1.147
22,3,1,6,1,1.333
22,3,1,6,1,1.519
22,3,1,6,1,1.833
22,4,2,7,2,1.980
22,4,2,7,2,1.980
22,5,2,8,2,2.355
22,7,2,10,4,2.531
23,0,0,0,0,0
23,1,2,6,0,978
23,1,2,7,0,1.166
23,2,2,8,0,1.442
23,2,2,9,1,1.698
23,2,3,9,1,1.828
23,2,2,9,2,1.828
23,2,3,9,2,2.124
23,3,3,11,3,2.636
23,3,3,11,3,2.784
23,3,3,12,4,2.895
