DATA,HORA,VEÍCULO,LINHA,ORIGEM,DEFEITO,GRUPO,PERDAS,O.S,STATUS O.S,RESPONSÁVEL,REINC,Data Reincidência,Difenreça dos dias,O.S REINC
7/1/2024,9:51:56,2004,,1,BORRACHARIA,MECÂNICA,0,565850,,,Não,Nenhuma,0,
7/1/2024,8:40:54,2013,,1,PNEUMÁTICA,MECÂNICA,1,565829,,,Não,Nenhuma,0,
7/1/2024,11:59:53,2031,,1,POTENCIA,ELÉTRICA,0,565873,,,Não,Nenhuma,0,
7/1/2024,18:08:48,2034,,1,BATERIA,ELÉTRICA,0,566036,,,Não,Nenhuma,0,
7/1/2024,15:17:28,2303,,1,AR CONDICIONADO,AR CONDICIONADO,0,565928,,,Não,Nenhuma,0,
7/1/2024,20:00:51,2316,,2,PORTA,LANTERNAGEM,0,566051,,,Não,Nenhuma,0,
7/1/2024,10:16:01,2325,,1,AR CONDICIONADO,AR CONDICIONADO,0,565856,,,Não,Nenhuma,0,
7/1/2024,4:34:12,2338,,3,FREIO,MECÂNICA,0,565803,,,Não,Nenhuma,0,
7/1/2024,9:41:01,2342,,2,PERIFÉRICOS ELÉTRICOS,ELÉTRICA,0,565846,,,Não,Nenhuma,0,
7/1/2024,6:25:20,2403,,2,SUSPENSÃO,MECÂNICA,0,565790,,,Não,Nenhuma,0,
7/1/2024,6:35:15,2404,,1,AR CONDICIONADO,AR CONDICIONADO,0,565798,,,Não,Nenhuma,0,
7/1/2024,7:57:02,2404,,1,AR CONDICIONADO,AR CONDICIONADO,0,565798,,,Não,Nenhuma,0,
7/1/2024,11:39:43,2408,,5,DESTINO,ELÉTRICA,0,565869,,,Não,Nenhuma,0,
7/1/2024,5:59:00,2417,,5,PORTA,LANTERNAGEM,0,565791,,,Não,Nenhuma,0,
7/1/2024,9:41:13,2429,,1,AR CONDICIONADO,AR CONDICIONADO,0,565844,,,Não,Nenhuma,0,
7/1/2024,6:54:28,2432,,5,PORTA,LANTERNAGEM,0,565802,,,Não,Nenhuma,0,
7/1/2024,9:29:03,2439,,1,AR CONDICIONADO,AR CONDICIONADO,0,565843,,,Não,Nenhuma,0,
7/1/2024,13:46:33,2441,,2,MOTOR,MOTOR,0,565908,,,Não,Nenhuma,0,
7/1/2024,13:50:54,2448,,2,BORRACHARIA,MECÂNICA,0,565910,,,Não,Nenhuma,0,
7/1/2024,7:44:38,2451,,1,TEMPERATURA,MOTOR,1,565807,,,Não,Nenhuma,0,
7/1/2024,6:37:36,2454,,5,TEMPERATURA,MOTOR,0,565800,,,Não,Nenhuma,0,
7/1/2024,12:51:27,2454,,1,TEMPERATURA,MOTOR,0,565897,,,Não,Nenhuma,0,
7/1/2024,18:28:31,2454,,1,TEMPERATURA,MOTOR,0,565897,,,Não,Nenhuma,0,
7/1/2024,15:36:18,2456,,1,TEMPERATURA,MOTOR,0,565986,,,Não,Nenhuma,0,
7/1/2024,8:25:52,2475,,1,PERIFÉRICOS ELÉTRICOS,ELÉTRICA,0,565824,,,Não,Nenhuma,0,
7/1/2024,11:46:22,2476,,1,TEMPERATURA,MOTOR,0,565872,,,Não,Nenhuma,0,
7/1/2024,13:23:24,2476,,3,TEMPERATURA,MOTOR,0,565903,,,Não,Nenhuma,0,
7/1/2024,9:26:59,2477,,1,BORRACHARIA,MECÂNICA,0,565470,,,Não,Nenhuma,0,
